PLANT EQPT STATE - PEC-19,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Loc,C Vehs (26),,,,,,,,,,,Plt Eqpt (14),,,,TO&E,,"Total
Plt Eqpt",,,
,Kato Crane (25 Ton),Kato Crane (20 Ton),M/ Grader,FE Ldr,F/Lifter (7 Ton),F/Lifter (15 Ton),Road Roller,"Dozer
(Size II)","Dozer
(Size IV)",Excav,Industrial Tractor,"Air
Compr",Wel Plant,Conc Mix Machine,Flood Lt Tlr,Conc Vib,Conc Cutter,,,,
KB,1,1,1,2,3,1,-,-,2,1,2,2,2,6,4,3,2,33,,,
Grimari,-,-,1,-,-,-,1,1,-,1,,-,-,-,-,-,-,4,,,
Sibut,1,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,1,,,
Batangafo,1,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,1,,,
N’Dele,-,-,1,1,-,-,1,1,-,1,1,-,-,-,-,-,-,6,,,
Total,3,1,3,3,3,1,2,2,2,3,3,2,2,6,4,3,2,45,,,
MT STATE - PEC-19,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Detail ,A VEHS (6),,B VEHS (77),,,,,,,,,,,,,Tlrs (13),,,,Fuel Storage Tank,Total 
,APC,MRAP,Tptr,5 Ton,Trk Refrigerator,Trk Sewer,Trk Dump,Water Bowzer,Fuel Bowzer,Rec Vehs,Shop Set,Amb Def,Jeep Def,D/C Vigo,JMR,W/T,F/T,LowBed,Hvy Eqpt,,
KB Camp,5,1,2,6,3,1,2,4,3,2,4,3,7,7,2,3,4,1,1,2,63
Batagafu,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Grimari,-,-,1,1,-,-,1,1,1,-,-,-,-,-,-,-,-,-,1,-,6
N Dele,-,-,1,1,-,-,4,1,-,-,-,-,-,-,-,1,1,1,-,-,10
Bangui,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,2
Sibut,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Total ,5,1,4,8,3,1,10,6,4,2,4,3,7,7,3,4,5,2,2,2,83
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
STATE OF GEN SET HELD WITH LOC (PAK ENG COY-1),,,,,,,,,,,,,,,,,,,,,
Ser,Engine No,Make & Type,Total,Loc,Remarks.,,,,,,,,,,,,,,,,
1,CD4045C069748,Gen Set 80 KVA (John Deere),13,KB,.,,,,,,,,,,,,,,,,
2,U567051W,Gen Set 80 KVA (Perkins),,"N, DELE",,,,,,,,,,,,,,,,,
3,U589974X,Gen Set 80 KVA (Perkins),,KB,,,,,,,,,,,,,,,,,
4,U589991X,Gen Set 80 KVA (Perkins),,KB,Gen fwd to Pak for O/H ,,,,,,,,,,,,,,,,
5,CD4045B112625,Gen Set 80 KVA (John Deere),,KB,,,,,,,,,,,,,,,,,
6,CD4045B146408,Gen Set 80 KVA (John Deere),,KB,.,,,,,,,,,,,,,,,,
7,U590200X,Gen Set 80 KVA (Perkins),,"N, DELE",,,,,,,,,,,,,,,,,
8,UN-20450,Gen Set 80 KVA (John Deere),,KB,,,,,,,,,,,,,,,,,
9,UN-20451,Gen Set 80 KVA (John Deere),,KB,,,,,,,,,,,,,,,,,
10,UN-20452,Gen Set 80 KVA (John Deere),,KB,,,,,,,,,,,,,,,,,
11,UN-20453,Gen Set 80 KVA (John Deere),,KB,,,,,,,,,,,,,,,,,
12,UN-20454,Gen Set 80 KVA (John Deere),,KB,,,,,,,,,,,,,,,,,
13,CD4045B144925,Gen Set 80 KVA (John Deere),,KB,Gen fwd to Pak for O/H,,,,,,,,,,,,,,,,
14,U907131-T,Gen Set 50 KVA (Perkins),3,KB,,,,,,,,,,,,,,,,,
15,U902244S,Gen Set 50 KVA (Perkins),,KB,Gen fwd to Pak for O/H,,,,,,,,,,,,,,,,
16,U907132-T,Gen Set 50 KVA (Perkins),,KB,,,,,,,,,,,,,,,,,
17,CD3029B136228,Gen Set 40 KVA (John Deere),1,KB,,,,,,,,,,,,,,,,,
18,U410914Y,Gen Set 30 KVA (Perkins),3,KB,,,,,,,,,,,,,,,,,
19,U410909 Y,Gen Set 30 KVA (Perkins),,Grimari,,,,,,,,,,,,,,,,,
20,U399816-Y,Gen Set 30 KVA (Perkins),,KB,,,,,,,,,,,,,,,,,
21,84117753-002,Gen Set 9 KVA (Kohlar),2,KB,,,,,,,,,,,,,,,,,
22,83521833-006,Gen Set 9 KVA (Kohlar),,KB,,,,,,,,,,,,,,,,,
23,IEU1505,Gen Set 5 KVA (Kubota),6,Grimari,,,,,,,,,,,,,,,,,
24,4875525,Gen Set 5 KVA,,KB,,,,,,,,,,,,,,,,,
25,IEU1792,Gen Set 5 KVA (Kubota),,KB,,,,,,,,,,,,,,,,,
26,4865076,Gen Set 5 KVA ,,KB,,,,,,,,,,,,,,,,,
27,4865109,Gen Set 5 KVA ,,KB,,,,,,,,,,,,,,,,,
28,IEU2743,Gen Set 5 KVA (Kubota),,Sibut,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
